customer_id,tenure_months,monthly_charges,total_charges,contract_type,internet_service,support_calls,cancellation_flag_after_signup,churn
389,64.0,70.3,4054.82,One year,Fiber optic,1,0,No
14,55.0,52.38,2419.13,One year,Fiber optic,1,0,No
143,20.0,76.46,1505.71,Two year,DSL,1,0,No
254,24.0,83.11,2001.24,Month-to-month,No,2,0,No
524,59.0,43.09,2680.41,Month-to-month,Fiber optic,2,0,No
450,21.0,47.64,1048.06,Two year,Fiber optic,2,1,Yes
297,61.0,101.29,5324.77,Month-to-month,DSL,2,1,Yes
109,34.0,62.28,2350.49,Month-to-month,,2,0,No
180,36.0,88.49,2628.8,Two year,Fiber optic,1,0,No
727,52.0,41.19,1728.97,Month-to-month,DSL,3,0,No
527,66.0,83.89,5483.85,Month-to-month,Fiber optic,1,1,Yes
410,1.0,66.93,76.62,One year,DSL,0,1,Yes
452,66.0,105.69,5938.24,Month-to-month,Fiber optic,1,1,Yes
564,13.0,10.0,147.79,Month-to-month,Fiber optic,1,0,No
735,15.0,81.26,1243.4,Two year,Fiber optic,2,0,No
317,52.0,44.23,2589.8,One year,Fiber optic,2,0,No
740,64.0,63.25,3913.78,Two year,,2,0,No
295,39.0,90.42,,Month-to-month,DSL,0,0,No
755,40.0,112.97,4453.58,One year,No,4,0,No
575,1.0,110.42,113.46,Month-to-month,DSL,2,1,Yes
799,23.0,69.73,1700.97,Month-to-month,Fiber optic,3,0,No
443,10.0,100.35,1171.1,Month-to-month,DSL,3,0,No
640,68.0,60.89,4957.82,Month-to-month,Fiber optic,2,1,Yes
438,66.0,17.08,917.85,Month-to-month,DSL,0,0,No
774,51.0,34.56,1941.36,One year,No,3,0,No
413,20.0,95.65,2282.48,One year,,0,0,No
135,57.0,45.75,2628.87,Month-to-month,DSL,3,1,Yes
481,21.0,36.45,720.06,Two year,DSL,3,1,Yes
128,55.0,67.85,,Month-to-month,No,0,0,No
243,7.0,43.99,326.76,One year,Fiber optic,2,0,No
49,49.0,93.21,5427.41,Two year,Fiber optic,0,0,No
454,2.0,61.6,144.81,Month-to-month,No,2,0,No
221,10.0,89.07,767.31,Month-to-month,Fiber optic,1,1,Yes
141,70.0,106.38,7799.93,Month-to-month,DSL,1,0,No
366,37.0,62.52,2365.92,Month-to-month,No,0,0,No
396,63.0,68.01,4406.39,Month-to-month,DSL,1,0,No
253,,84.49,1192.1,Two year,No,1,0,No
16,56.0,74.92,4065.82,Month-to-month,DSL,0,1,Yes
61,66.0,96.68,6206.13,One year,Fiber optic,5,0,No
47,32.0,66.72,2133.97,Month-to-month,No,2,0,No
337,69.0,12.98,946.96,Two year,No,3,0,No
729,35.0,72.55,2998.31,Month-to-month,No,1,0,No
553,59.0,93.51,5822.49,Month-to-month,Fiber optic,0,0,No
696,18.0,66.22,,Two year,DSL,2,0,No
9,15.0,87.55,1163.62,Month-to-month,DSL,1,0,No
58,11.0,103.02,1173.67,Month-to-month,DSL,2,0,No
329,11.0,64.73,606.93,Month-to-month,,0,1,Yes
245,45.0,110.27,4832.81,One year,Fiber optic,1,0,No
726,9.0,63.21,666.62,Month-to-month,No,1,0,No
748,23.0,104.54,2413.94,Two year,DSL,2,0,No
763,68.0,95.48,6800.53,Month-to-month,No,0,0,No
354,31.0,13.82,381.28,Month-to-month,DSL,1,0,No
257,49.0,121.32,5911.92,Two year,Fiber optic,3,1,Yes
753,7.0,67.78,412.74,One year,DSL,1,0,No
139,25.0,105.1,2804.3,Month-to-month,Fiber optic,1,0,No
358,64.0,23.5,1728.65,One year,Fiber optic,1,0,No
587,49.0,75.58,3568.58,One year,Fiber optic,1,0,No
290,34.0,78.73,2354.2,Month-to-month,DSL,0,0,No
490,44.0,21.04,882.15,Month-to-month,No,3,1,Yes
747,38.0,52.85,1986.32,Two year,No,1,0,No
720,43.0,87.52,3695.38,Two year,Fiber optic,6,0,No
455,43.0,117.63,5519.98,Month-to-month,Fiber optic,1,0,No
638,22.0,85.4,1700.66,Month-to-month,Fiber optic,2,0,No
681,52.0,43.2,2559.87,Month-to-month,DSL,2,0,No
307,22.0,93.8,1772.6,One year,Fiber optic,2,0,No
466,69.0,57.76,3993.59,Two year,Fiber optic,0,0,No
126,41.0,62.57,2431.83,Two year,Fiber optic,1,0,No
187,12.0,76.55,1053.57,Month-to-month,DSL,2,0,No
777,31.0,63.63,2245.46,One year,No,2,0,No
464,30.0,94.22,2530.89,Month-to-month,Fiber optic,0,1,Yes
787,3.0,67.08,173.28,Month-to-month,DSL,1,1,Yes
51,54.0,56.65,2933.84,Month-to-month,DSL,1,0,No
646,24.0,75.07,1588.25,Month-to-month,DSL,2,1,Yes
736,48.0,70.08,2796.14,One year,No,1,0,No
778,9.0,32.32,293.19,One year,Fiber optic,2,0,No
597,42.0,75.74,3179.93,Two year,DSL,0,0,No
351,38.0,89.44,3469.8,Month-to-month,Fiber optic,2,1,Yes
776,68.0,60.92,3869.13,Month-to-month,No,1,0,No
64,69.0,79.58,6441.94,Month-to-month,,2,0,No
99,46.0,68.58,3150.18,Month-to-month,No,1,0,No
420,36.0,97.5,,Month-to-month,Fiber optic,0,1,Yes
619,5.0,70.07,284.81,One year,DSL,2,0,No
563,36.0,79.57,2573.96,Month-to-month,DSL,1,0,No
233,2.0,54.65,102.65,Two year,Fiber optic,1,1,Yes
533,12.0,104.09,1173.87,Month-to-month,Fiber optic,1,1,Yes
694,68.0,105.88,6344.05,Month-to-month,Fiber optic,1,1,Yes
67,65.0,118.78,7569.22,One year,DSL,1,0,No
581,7.0,63.6,380.24,Month-to-month,Fiber optic,5,0,No
10,7.0,73.46,531.83,Month-to-month,Fiber optic,0,1,Yes
586,66.0,67.35,4350.28,Month-to-month,DSL,2,0,No
352,4.0,90.18,409.27,Month-to-month,No,0,0,No
363,16.0,60.71,1012.61,Month-to-month,DSL,2,1,Yes
529,65.0,94.69,6500.27,Month-to-month,DSL,1,0,No
423,55.0,62.02,2981.93,Month-to-month,DSL,3,0,No
223,,27.86,1223.13,Month-to-month,Fiber optic,1,1,Yes
593,18.0,34.58,704.52,Month-to-month,DSL,1,0,No
673,46.0,72.96,3109.58,Two year,DSL,2,0,No
65,30.0,66.72,1914.77,Month-to-month,DSL,3,0,No
534,21.0,22.98,497.75,One year,Fiber optic,0,0,No
147,3.0,58.79,154.38,Month-to-month,Fiber optic,0,0,No
205,33.0,39.44,1087.96,One year,,4,1,Yes
160,56.0,66.02,3010.8,Two year,DSL,2,0,No
709,34.0,53.6,1927.33,Month-to-month,DSL,0,0,No
568,18.0,40.94,612.44,Month-to-month,DSL,2,1,Yes
625,43.0,39.13,1565.63,One year,Fiber optic,0,0,No
286,67.0,76.81,5063.28,Month-to-month,Fiber optic,4,0,No
415,2.0,48.87,93.97,One year,No,1,0,No
273,11.0,100.31,1071.74,Month-to-month,Fiber optic,1,1,Yes
421,66.0,66.69,4345.89,Month-to-month,No,0,0,No
169,24.0,67.82,1911.54,Month-to-month,Fiber optic,1,0,No
671,68.0,73.75,5123.01,Two year,No,0,0,No
382,67.0,56.1,4231.14,Two year,Fiber optic,2,0,No
412,17.0,96.48,1765.09,Month-to-month,DSL,2,1,Yes
447,23.0,41.81,788.66,One year,No,0,0,No
658,45.0,72.55,3344.03,Month-to-month,Fiber optic,0,0,No
193,44.0,63.69,2384.07,Two year,DSL,1,0,No
743,46.0,63.9,3221.44,Month-to-month,No,1,1,Yes
541,51.0,65.76,2966.97,One year,Fiber optic,2,0,No
260,42.0,66.45,2307.32,Month-to-month,DSL,0,1,Yes
779,20.0,45.37,1031.82,Two year,DSL,1,0,No
393,27.0,71.51,2189.58,Month-to-month,DSL,1,1,Yes
757,53.0,19.96,1157.04,Month-to-month,Fiber optic,1,0,No
350,12.0,73.95,911.63,Month-to-month,Fiber optic,2,1,Yes
75,49.0,77.85,3196.03,Month-to-month,No,0,0,No
264,66.0,60.24,3261.43,Month-to-month,DSL,0,0,No
129,41.0,89.77,4114.52,One year,DSL,0,0,No
559,,77.23,3820.72,Month-to-month,DSL,2,1,Yes
110,51.0,93.39,4756.33,One year,DSL,2,1,Yes
26,46.0,11.66,473.14,Month-to-month,DSL,1,0,No
210,,59.41,3476.29,One year,DSL,2,0,No
704,,63.08,671.14,One year,Fiber optic,1,0,No
274,69.0,61.91,4507.14,Month-to-month,DSL,0,1,Yes
453,36.0,115.93,4642.5,Month-to-month,Fiber optic,1,1,Yes
656,38.0,94.35,3328.28,Two year,No,1,0,No
278,56.0,61.44,3664.41,One year,DSL,0,0,No
661,13.0,56.56,708.3,Month-to-month,No,1,1,Yes
465,1.0,60.95,61.02,One year,Fiber optic,3,1,Yes
100,10.0,65.74,648.39,Month-to-month,DSL,0,0,No
25,56.0,32.95,1926.48,Month-to-month,DSL,3,0,No
359,7.0,72.48,586.45,Two year,No,3,0,No
601,44.0,34.89,1552.9,Month-to-month,Fiber optic,1,0,No
448,68.0,60.5,4719.01,Month-to-month,DSL,1,0,No
383,68.0,38.0,2310.6,Two year,No,1,0,No
501,9.0,101.12,987.26,Month-to-month,Fiber optic,2,0,No
539,39.0,65.85,2395.59,One year,DSL,2,1,Yes
262,13.0,26.73,309.72,One year,Fiber optic,0,0,No
467,12.0,92.72,1149.36,Month-to-month,DSL,1,0,No
71,57.0,96.91,5643.83,One year,Fiber optic,0,0,No
571,68.0,57.9,3490.87,One year,No,1,0,No
542,4.0,80.34,268.67,Month-to-month,Fiber optic,3,0,No
376,7.0,85.88,523.15,Month-to-month,DSL,2,0,No
511,71.0,53.1,4146.63,One year,DSL,2,0,No
741,59.0,114.28,6936.49,Month-to-month,,0,0,No
388,60.0,103.77,6057.88,Two year,DSL,2,0,No
715,66.0,98.25,6419.88,Month-to-month,DSL,2,1,Yes
206,19.0,76.23,1203.49,Month-to-month,No,4,0,No
794,,80.44,4787.3,One year,Fiber optic,2,0,No
546,4.0,81.21,269.49,Month-to-month,Fiber optic,1,0,No
335,33.0,67.6,2614.33,Month-to-month,DSL,1,1,Yes
744,20.0,17.56,291.56,Two year,No,1,0,No
172,7.0,44.19,254.89,Month-to-month,Fiber optic,3,0,No
758,28.0,56.42,1399.84,Month-to-month,DSL,2,0,No
284,35.0,10.0,350.81,Month-to-month,Fiber optic,0,1,Yes
400,23.0,76.22,1766.32,Month-to-month,No,0,0,No
112,56.0,61.61,4092.45,Two year,No,0,0,No
543,14.0,64.19,762.14,One year,DSL,1,0,No
23,13.0,20.17,247.29,Two year,DSL,1,0,No
663,3.0,46.11,129.12,Month-to-month,Fiber optic,1,1,Yes
230,13.0,37.93,516.38,One year,DSL,4,0,No
3,47.0,76.91,3140.33,Month-to-month,No,0,0,No
759,10.0,70.36,804.83,Month-to-month,Fiber optic,2,1,Yes
271,,48.27,1073.84,One year,No,2,0,No
724,9.0,91.01,958.51,One year,Fiber optic,5,0,No
699,4.0,72.76,290.35,Month-to-month,Fiber optic,0,0,No
133,7.0,92.45,744.01,One year,Fiber optic,0,0,No
200,69.0,119.93,8218.86,Month-to-month,Fiber optic,0,0,No
116,41.0,92.38,3930.39,One year,DSL,2,0,No
353,22.0,29.5,547.47,Month-to-month,Fiber optic,2,0,No
510,17.0,96.23,1342.07,One year,DSL,1,0,No
668,62.0,131.13,7955.26,Month-to-month,Fiber optic,1,0,No
624,30.0,79.47,,Two year,DSL,2,0,No
66,24.0,78.72,,Month-to-month,No,2,0,No
240,45.0,56.66,2591.15,Two year,Fiber optic,3,0,No
52,14.0,43.26,626.12,Two year,DSL,2,0,No
361,61.0,114.94,6735.54,Month-to-month,Fiber optic,2,0,No
301,26.0,89.77,2691.43,Month-to-month,DSL,0,1,Yes
615,49.0,68.52,2686.67,Month-to-month,DSL,1,0,No
308,40.0,13.71,498.54,Month-to-month,No,1,1,Yes
762,40.0,60.39,2166.16,Month-to-month,Fiber optic,1,1,Yes
427,62.0,76.32,,One year,No,3,0,No
767,44.0,76.82,4038.74,Two year,Fiber optic,1,0,No
306,10.0,63.86,633.04,Month-to-month,DSL,4,0,No
595,23.0,81.58,2071.9,Month-to-month,Fiber optic,2,0,No
324,66.0,86.19,5442.75,Month-to-month,Fiber optic,1,0,No
780,61.0,48.48,2893.8,Month-to-month,DSL,1,0,No
82,32.0,118.43,3422.06,Two year,No,0,1,Yes
711,49.0,109.48,5958.13,One year,Fiber optic,3,1,Yes
617,18.0,59.64,1189.1,Two year,DSL,3,0,No
178,12.0,50.86,585.25,One year,DSL,1,0,No
642,66.0,70.9,4729.61,Month-to-month,DSL,0,0,No
38,59.0,32.99,2332.86,Month-to-month,Fiber optic,2,0,No
98,49.0,84.52,4724.81,Month-to-month,Fiber optic,1,1,Yes
243,7.0,43.99,326.76,One year,Fiber optic,2,0,No
203,36.0,75.89,2580.66,Two year,DSL,2,1,Yes
531,43.0,105.91,5260.92,One year,DSL,1,0,No
237,48.0,76.72,4339.24,Month-to-month,DSL,0,0,No
150,5.0,85.94,506.57,Month-to-month,Fiber optic,2,1,Yes
504,62.0,27.4,1396.57,Month-to-month,No,0,1,Yes
192,45.0,101.2,5361.6,Month-to-month,Fiber optic,0,0,No
218,7.0,54.31,452.74,Month-to-month,Fiber optic,1,0,No
765,26.0,74.6,1751.8,One year,Fiber optic,2,0,No
446,48.0,109.04,4663.59,One year,Fiber optic,1,0,No
391,54.0,42.66,2554.33,Month-to-month,Fiber optic,2,1,Yes
55,36.0,65.27,2061.34,Two year,DSL,1,1,Yes
471,53.0,78.41,,Month-to-month,Fiber optic,1,1,Yes
372,47.0,91.38,4127.81,Month-to-month,,0,0,No
436,9.0,105.94,1085.72,Month-to-month,DSL,0,1,Yes
750,12.0,102.21,1456.86,One year,DSL,2,0,No
535,41.0,62.05,2178.83,Month-to-month,Fiber optic,1,0,No
710,,100.66,3573.49,Month-to-month,DSL,0,1,Yes
194,26.0,79.09,2299.53,Month-to-month,Fiber optic,1,1,Yes
236,52.0,70.8,3590.2,One year,DSL,1,0,No
680,67.0,68.49,3711.14,Month-to-month,Fiber optic,0,0,No
56,4.0,78.22,263.22,Month-to-month,Fiber optic,1,0,No
300,,58.02,117.41,Month-to-month,DSL,5,0,No
512,53.0,48.44,2318.5,Month-to-month,DSL,0,0,No
142,16.0,73.29,956.88,Month-to-month,Fiber optic,1,0,No
569,46.0,52.2,2655.62,One year,DSL,1,1,Yes
702,44.0,31.41,1304.44,Month-to-month,Fiber optic,1,0,No
373,30.0,85.99,2924.5,One year,Fiber optic,3,0,No
408,11.0,79.78,846.02,One year,Fiber optic,1,0,No
121,32.0,130.51,4145.87,One year,No,3,0,No
473,31.0,21.58,716.47,Two year,Fiber optic,1,0,No
493,54.0,67.41,3351.07,Month-to-month,DSL,2,0,No
85,45.0,78.69,3679.13,One year,No,2,0,No
612,33.0,73.03,2102.35,One year,DSL,0,0,No
4,32.0,34.68,1283.03,Month-to-month,Fiber optic,3,0,No
59,53.0,61.43,3071.75,Month-to-month,DSL,1,1,Yes
224,15.0,83.45,1286.1,Month-to-month,No,2,1,Yes
488,38.0,71.58,2484.91,One year,DSL,0,0,No
102,,80.76,1350.26,Month-to-month,Fiber optic,0,1,Yes
222,33.0,81.2,2211.63,Month-to-month,Fiber optic,1,0,No
621,31.0,86.75,2317.42,One year,DSL,1,0,No
479,48.0,52.66,2950.3,Month-to-month,No,1,0,No
53,26.0,53.64,,Month-to-month,DSL,0,0,No
18,10.0,60.16,513.66,One year,,0,0,No
156,47.0,49.34,2663.73,Two year,Fiber optic,0,0,No
550,49.0,84.74,4607.97,One year,DSL,2,0,No
249,56.0,62.24,,One year,DSL,1,0,No
250,3.0,62.84,165.0,One year,No,0,0,No
664,15.0,80.94,1131.84,One year,Fiber optic,1,1,Yes
692,57.0,140.23,8151.37,Month-to-month,No,0,0,No
31,32.0,97.23,2632.63,Month-to-month,No,2,0,No
636,49.0,77.9,3491.77,One year,No,1,0,No
782,46.0,115.04,5611.21,One year,DSL,0,0,No
118,10.0,32.44,308.09,Two year,DSL,1,0,No
176,33.0,78.36,3015.81,Month-to-month,DSL,1,0,No
117,3.0,52.01,179.64,One year,DSL,1,0,No
633,31.0,61.58,2176.0,Month-to-month,No,0,1,Yes
627,25.0,57.48,1386.6,One year,DSL,1,0,No
397,4.0,114.94,550.62,Month-to-month,DSL,6,1,Yes
28,59.0,88.74,6135.21,Month-to-month,Fiber optic,1,0,No
505,20.0,49.17,923.79,Two year,Fiber optic,0,1,Yes
201,27.0,40.58,1076.68,Month-to-month,Fiber optic,1,0,No
409,67.0,25.33,1683.29,Two year,Fiber optic,2,1,Yes
733,66.0,78.8,6045.27,Two year,DSL,0,0,No
769,10.0,87.45,730.48,Two year,No,1,1,Yes
603,53.0,62.43,3623.41,One year,DSL,3,0,No
319,67.0,96.23,7274.07,Month-to-month,DSL,1,0,No
281,20.0,29.61,561.59,Month-to-month,No,2,1,Yes
770,27.0,72.77,2101.56,Month-to-month,DSL,0,0,No
691,71.0,102.98,8492.47,Month-to-month,No,2,1,Yes
208,69.0,28.71,1937.99,One year,Fiber optic,4,1,Yes
645,55.0,99.69,,Two year,Fiber optic,0,0,No
24,66.0,37.59,2247.43,Month-to-month,Fiber optic,1,1,Yes
565,64.0,26.91,1605.47,Month-to-month,Fiber optic,1,0,No
609,69.0,67.26,4581.9,Month-to-month,Fiber optic,2,0,No
155,31.0,27.84,,Month-to-month,Fiber optic,1,0,No
700,7.0,59.79,385.1,Two year,No,2,1,Yes
592,65.0,59.69,3471.88,One year,DSL,1,0,No
639,57.0,17.3,1018.69,Two year,Fiber optic,2,0,No
290,34.0,78.73,2354.2,Month-to-month,DSL,0,0,No
578,38.0,67.26,2680.34,Two year,Fiber optic,1,1,Yes
456,40.0,70.89,2768.91,Month-to-month,Fiber optic,2,0,No
431,6.0,59.95,324.41,One year,DSL,2,0,No
263,22.0,74.11,1720.16,Month-to-month,Fiber optic,2,0,No
83,12.0,97.65,1324.97,One year,Fiber optic,2,1,Yes
404,69.0,66.22,5021.03,One year,No,1,0,No
432,53.0,76.1,3444.62,One year,Fiber optic,0,0,No
39,20.0,47.8,781.64,Two year,Fiber optic,0,0,No
718,35.0,82.99,2373.2,One year,DSL,0,1,Yes
334,59.0,44.44,2898.15,One year,DSL,0,1,Yes
11,38.0,89.0,2970.17,Month-to-month,Fiber optic,2,1,Yes
732,30.0,60.97,2173.06,Month-to-month,Fiber optic,0,1,Yes
320,55.0,45.6,2247.97,Month-to-month,DSL,1,0,No
33,7.0,68.27,405.64,Month-to-month,Fiber optic,1,0,No
713,52.0,94.34,5321.19,Month-to-month,Fiber optic,0,0,No
554,23.0,91.65,2126.59,One year,Fiber optic,1,0,No
282,35.0,82.05,2785.75,Month-to-month,Fiber optic,4,0,No
460,8.0,79.14,714.26,Month-to-month,DSL,0,0,No
730,47.0,71.97,2722.56,One year,Fiber optic,2,0,No
474,34.0,86.66,2973.8,Month-to-month,No,2,0,No
737,52.0,51.25,3038.15,One year,Fiber optic,2,0,No
502,47.0,59.22,2853.89,One year,No,0,0,No
424,42.0,75.43,3122.25,One year,Fiber optic,1,0,No
90,60.0,61.52,4316.98,Month-to-month,DSL,2,0,No
214,32.0,25.63,976.08,Two year,Fiber optic,1,0,No
322,8.0,83.96,584.75,Month-to-month,DSL,1,1,Yes
682,10.0,81.38,701.59,Two year,,1,1,Yes
134,40.0,110.72,3585.61,Two year,DSL,2,1,Yes
347,71.0,83.72,5889.8,Month-to-month,DSL,2,0,No
500,31.0,77.22,2125.94,One year,Fiber optic,1,0,No
8,50.0,81.48,3356.33,One year,Fiber optic,0,0,No
478,2.0,72.1,156.99,Month-to-month,,1,1,Yes
736,48.0,70.08,2796.14,One year,No,1,0,No
665,43.0,38.96,1425.34,Month-to-month,Fiber optic,0,0,No
188,28.0,47.51,1440.8,Month-to-month,Fiber optic,2,0,No
123,47.0,56.01,,Month-to-month,DSL,3,0,No
41,12.0,90.09,1004.94,Month-to-month,DSL,3,0,No
305,,77.85,2863.38,Month-to-month,Fiber optic,2,0,No
419,22.0,102.18,2476.95,Two year,No,0,0,No
670,10.0,106.8,1178.79,Month-to-month,DSL,0,1,Yes
173,55.0,38.89,2425.21,One year,Fiber optic,2,0,No
285,32.0,89.62,3139.26,Month-to-month,DSL,1,0,No
717,37.0,84.96,2823.55,One year,DSL,2,1,Yes
241,10.0,59.71,521.33,Month-to-month,DSL,0,1,Yes
657,55.0,87.46,4901.51,One year,No,0,1,Yes
526,23.0,79.93,1861.54,Month-to-month,Fiber optic,3,1,Yes
486,17.0,44.8,,Two year,DSL,0,0,No
570,41.0,104.26,3945.93,Two year,Fiber optic,0,0,No
246,6.0,133.73,715.31,Month-to-month,DSL,1,0,No
57,39.0,79.05,3534.38,Month-to-month,Fiber optic,1,0,No
650,61.0,69.97,4165.12,Month-to-month,Fiber optic,3,0,No
72,14.0,48.86,634.97,Month-to-month,Fiber optic,0,0,No
608,37.0,102.87,3796.31,Month-to-month,No,2,0,No
146,61.0,46.47,2426.15,Month-to-month,DSL,0,0,No
91,31.0,96.6,3089.08,Month-to-month,,1,0,No
167,23.0,77.41,2067.44,Month-to-month,DSL,1,1,Yes
494,,69.3,3301.98,Two year,DSL,1,0,No
171,8.0,51.16,346.67,One year,DSL,0,1,Yes
311,48.0,11.99,587.14,Two year,DSL,1,0,No
472,58.0,80.62,5118.61,Two year,Fiber optic,1,0,No
360,54.0,93.27,4662.61,Month-to-month,DSL,1,1,Yes
94,28.0,134.94,4051.05,Two year,DSL,3,0,No
483,18.0,55.38,986.41,Month-to-month,Fiber optic,2,0,No
708,41.0,74.51,2980.55,Two year,Fiber optic,2,0,No
607,23.0,114.86,3087.36,Month-to-month,No,3,1,Yes
377,53.0,88.5,5275.87,Month-to-month,DSL,0,0,No
244,47.0,10.0,502.5,Month-to-month,Fiber optic,0,0,No
88,23.0,74.63,2022.47,Month-to-month,Fiber optic,2,0,No
215,53.0,82.89,3898.63,Month-to-month,Fiber optic,1,0,No
345,65.0,81.2,4393.48,Month-to-month,DSL,1,1,Yes
174,52.0,47.78,2142.45,Two year,Fiber optic,2,0,No
641,48.0,15.49,889.61,Month-to-month,DSL,1,1,Yes
292,19.0,80.5,1680.88,Month-to-month,Fiber optic,3,0,No
626,17.0,106.06,1905.07,One year,Fiber optic,0,0,No
119,18.0,10.0,151.28,Two year,No,2,0,No
120,9.0,56.41,570.87,Month-to-month,DSL,0,0,No
164,29.0,86.57,2048.91,Month-to-month,DSL,0,1,Yes
515,69.0,79.74,6351.11,One year,Fiber optic,2,0,No
385,3.0,113.22,402.79,One year,DSL,1,1,Yes
532,12.0,83.24,1123.38,Two year,DSL,4,1,Yes
395,52.0,68.72,2864.91,Month-to-month,Fiber optic,1,1,Yes
402,56.0,64.93,3038.24,Month-to-month,Fiber optic,1,1,Yes
405,36.0,51.35,1753.53,Month-to-month,Fiber optic,0,0,No
651,35.0,94.65,3956.39,Month-to-month,Fiber optic,1,0,No
492,62.0,64.48,4610.76,Month-to-month,Fiber optic,2,0,No
163,,87.67,3112.72,Month-to-month,DSL,1,1,Yes
321,23.0,47.24,1025.93,One year,No,3,1,Yes
115,36.0,104.1,3279.21,Month-to-month,DSL,4,1,Yes
159,36.0,63.67,2228.77,One year,Fiber optic,0,0,No
151,61.0,56.53,3317.33,Month-to-month,DSL,1,1,Yes
566,17.0,81.29,1484.85,Month-to-month,No,1,1,Yes
418,9.0,79.48,781.1,One year,DSL,2,0,No
602,56.0,78.28,4562.3,Two year,Fiber optic,1,0,No
369,2.0,114.63,201.31,One year,DSL,0,0,No
32,17.0,103.19,1838.17,Two year,DSL,1,0,No
378,54.0,85.92,4203.15,One year,No,2,1,Yes
795,31.0,36.99,1045.55,Month-to-month,Fiber optic,1,0,No
21,36.0,67.06,2279.75,One year,Fiber optic,0,0,No
114,33.0,32.62,1229.72,Month-to-month,Fiber optic,3,0,No
701,37.0,35.05,1284.94,Month-to-month,DSL,0,0,No
1,7.0,80.99,656.4,Month-to-month,DSL,3,1,Yes
599,45.0,79.36,4182.53,Two year,No,1,0,No
689,32.0,47.18,1214.41,Two year,No,2,0,No
771,47.0,70.03,3080.57,One year,No,3,0,No
548,42.0,111.18,5281.04,Two year,Fiber optic,3,1,Yes
541,51.0,65.76,2966.97,One year,Fiber optic,2,0,No
259,13.0,61.57,775.32,Month-to-month,DSL,1,0,No
784,9.0,60.91,632.64,Month-to-month,DSL,0,1,Yes
315,18.0,97.82,1959.61,Two year,No,1,0,No
687,29.0,64.27,2089.47,Month-to-month,Fiber optic,3,0,No
136,22.0,47.81,1036.49,Month-to-month,DSL,3,1,Yes
544,13.0,71.89,774.34,Month-to-month,DSL,2,1,Yes
5,31.0,12.25,375.11,Two year,Fiber optic,0,0,No
558,63.0,100.01,6218.96,Two year,No,2,0,No
325,,69.66,4370.81,Two year,,1,0,No
331,,30.91,1110.59,Month-to-month,Fiber optic,0,0,No
790,1.0,29.99,27.43,Two year,DSL,2,0,No
340,68.0,106.53,7572.93,Month-to-month,No,3,0,No
298,32.0,56.97,1602.49,Two year,DSL,0,0,No
81,67.0,62.67,4628.1,Two year,DSL,4,0,No
695,7.0,76.09,566.74,Month-to-month,Fiber optic,3,0,No
27,29.0,53.04,1777.22,Month-to-month,Fiber optic,1,0,No
